ID,RefSeq_accession_number,gene_symbol,gene_name
456,NP_001159477,EPB41,protein 4.1 isoform 1
457,NP_818932,EPB41L1,band 4.1-like protein 1 isoform b
458,NP_004428,EPB41,protein 4.1 isoform 6
459,NP_001245259,EPB41L1,band 4.1-like protein 1 isoform d
460,NP_001258928,DOCK7,dedicator of cytokinesis protein 7 isoform 1
461,NP_212132,DOCK7,dedicator of cytokinesis protein 7 isoform 2
462,NP_982272,DOCK8,dedicator of cytokinesis protein 8 isoform 1
463,NP_065863,DOCK6,dedicator of cytokinesis protein 6
464,NP_005517,HSF1,heat shock factor protein 1
465,NP_004497,HSF2,heat shock factor protein 2 isoform a
466,NP_001035757,HSF4,heat shock factor protein 4 isoform b
467,NP_004512,KIF5B,kinesin-1 heavy chain
468,NP_004513,KIF5C,kinesin heavy chain isoform 5C
469,NP_004975,KIF5A,kinesin heavy chain isoform 5A
470,NP_002145,HSPA4,heat shock 70 kDa protein 4
471,NP_006635,HSPH1,heat shock protein 105 kDa
472,NP_055093,HSPA4L,heat shock 70 kDa protein 4L
473,NP_005349,LMO7,LIM domain only protein 7 isoform 1
474,NP_056667,LMO7,LIM domain only protein 7 isoform 2
475,NP_065741,ANKHD1,ANKHD1-EIF4EBP3 protein
476,NP_115593,ANKRD17,ankyrin repeat domain-containing protein 17 isoform a
477,NP_060217,ANKRD1,ankyrin repeat and KH domain-containing protein 1 isoform 1
478,NP_078944,ANKRD1,ankyrin repeat and KH domain-containing protein 1 isoform 3
479,NP_005119,DOPEY2,protein dopey-2
480,NP_001186871,DOPEY1,protein dopey-1 isoform b
481,NP_001073883,CCDC88C,protein Daple
482,NP_057688,KDM3B,lysine-specific demethylase 3B
483,NP_060903,KDM3A,lysine-specific demethylase 3A
484,NP_940953,MIA3,melanoma inhibitory activity protein 3 precursor
485,NP_001509,GTF2I,general transcription factor II-I isoform 4
486,NP_001003795,GTF2IRD2B,general transcription factor II-I repeat domain-containing protein 2B
487,NP_775808,GTF2IRD2,general transcription factor II-I repeat domain-containing protein 2A
488,NP_938149,GANAB,neutral alpha-glucosidase AB isoform 3 precursor
489,NP_938148,GANAB,neutral alpha-glucosidase AB isoform 2 precursor
490,NP_009041,TEP1,telomerase protein component 1
491,NP_001258152,OBSCN,obscurin isoform IC
492,NP_443075,OBSCN,obscurin isoform a
493,NP_695012,UBA1,ubiquitin-like modifier-activating enzyme 1
494,NP_002152,IARS,"isoleucine--tRNA ligase, cytoplasmic"
495,NP_940978,AGRN,agrin precursor
496,NP_000292,PLG,plasminogen isoform 1 precursor
497,NP_005568,LPA,apolipoprotein(a) precursor
498,NP_829884,ERC1,ELKS/Rab6-interacting/CAST family member 1 isoform epsilon
499,NP_056391,ERC2,ERC protein 2
500,NP_055454,TTC37,tetratricopeptide repeat protein 37
501,NP_064502,LARS,"leucine--tRNA ligase, cytoplasmic"
502,NP_005210,DIAPH1,protein diaphanous homolog 1 isoform 1
503,NP_036533,PLXNB2,plexin-B2 precursor
504,NP_000177,CFH,complement factor H isoform a precursor
505,NP_002104,CFHR1,complement factor H-related protein 1 precursor
506,NP_066303,CFHR3,complement factor H-related protein 3 isoform 1 precursor
507,NP_005657,CFHR2,complement factor H-related protein 2 precursor
508,NP_001188479,CFHR4,complement factor H-related protein 4 isoform 1 precursor
509,NP_003226,TG,thyroglobulin precursor
510,NP_055951,STAB1,stabilin-1 precursor
511,NP_001014972,ZNF638,zinc finger protein 638 isoform 1
512,NP_009123,SPT16,FACT complex subunit SPT16
513,NP_005106,MVP,major vault protein
514,NP_055950,NUP205,nuclear pore complex protein Nup205
515,NP_055205,SND1,staphylococcal nuclease domain-containing protein 1
516,NP_060542,HEATR1,HEAT repeat-containing protein 1
517,NP_006286,VARS,valine--tRNA ligase
518,NP_065073,KIAA1244,brefeldin A-inhibited guanine nucleotide-exchange protein 3
519,NP_056281,PTPN23,tyrosine-protein phosphatase non-receptor type 23
520,NP_057535,COPB1,coatomer subunit beta
521,NP_000087,CP,ceruloplasmin precursor
522,NP_004578,RRBP1,ribosome-binding protein 1
523,NP_065972,NIN,ninein isoform 2
524,NP_002435,MSN,moesin
525,NP_003370,EZR,ezrin
526,NP_002897,RDX,radixin isoform 2
527,NP_001247425,RDX,radixin isoform 5
528,NP_060783,PBRM1,protein polybromo-1
529,NP_002999,SEMG2,semenogelin-2 precursor
530,NP_001146,ANXA6,annexin A6 isoform 1
531,NP_056090,KIAA1033,WASH complex subunit 7
532,NP_073616,DDX31,probable ATP-dependent RNA helicase DDX31 isoform 1
533,NP_003852,DCAF5,DDB1- and CUL4-associated factor 5
534,NP_001193814,CTNND1,catenin delta-1 isoform 1AC
535,NP_001193813,CTNND1,catenin delta-1 isoform 2AC
536,NP_001322,CTNND1,catenin delta-1 isoform 1B
537,NP_001078935,CTNND1,catenin delta-1 isoform 3AC
538,NP_005378,NUP98,nuclear pore complex protein Nup98-Nup96 isoform 3
539,NP_001186308,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 isoform 3
540,NP_004184,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 isoform 1
541,NP_001155901,PDCD6IP,programmed cell death 6-interacting protein isoform 2
542,NP_037506,PDCD6IP,programmed cell death 6-interacting protein isoform 1
543,NP_002334,LTF,lactotransferrin isoform 1 precursor
544,NP_001032412,PRIC285,helicase with zinc finger domain 2 isoform 1
545,NP_003282,TPP2,tripeptidyl-peptidase 2
546,NP_004482,GRLF1,rho GTPase-activating protein 35
547,NP_003592,SNF2H,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5
548,NP_003060,SMARCA1,probable global transcription activator SNF2L1 isoform a
549,NP_620604,SMARCA1,probable global transcription activator SNF2L1 isoform b
550,NP_055644,DDX46,probable ATP-dependent RNA helicase DDX46
551,NP_009117,CEP250,centrosome-associated protein CEP250
552,NP_001123892,SMARCC2,SWI/SNF complex subunit SMARCC2 isoform c
553,NP_003066,SMARCC2,SWI/SNF complex subunit SMARCC2 isoform a
554,NP_003065,SMARCC1,SWI/SNF complex subunit SMARCC1
555,NP_003473,MLL2,histone-lysine N-methyltransferase MLL2
556,NP_733751,MLL3,histone-lysine N-methyltransferase MLL3
557,NP_061322,MATR3,matrin-3 isoform a
558,NP_001181885,MATR3,matrin-3 isoform b
559,NP_055535,SLK,STE20-like serine/threonine-protein kinase
560,NP_005981,STK10,serine/threonine-protein kinase 10
561,NP_002532,OGDH,"2-oxoglutarate dehydrogenase, mitochondrial isoform 1 precursor"
562,NP_001158508,OGDH,"2-oxoglutarate dehydrogenase, mitochondrial isoform 3 precursor"
563,NP_060715,OGDHL,"2-oxoglutarate dehydrogenase-like, mitochondrial isoform a"
564,NP_005500,DMXL1,dmX-like protein 1
565,NP_001167587,DMXL2,dmX-like protein 2 isoform 1
566,NP_001005619,ITGB4,integrin beta-4 isoform 2 precursor
567,NP_001005731,ITGB4,integrin beta-4 isoform 3 precursor
568,NP_079330,VCPIP1,deubiquitinating protein VCIP135
569,NP_056240,POLR1A,DNA-directed RNA polymerase I subunit RPA1
570,NP_008986,POLR3A,DNA-directed RNA polymerase III subunit RPC1
571,NP_056111,DOCK9,dedicator of cytokinesis protein 9 isoform a
572,NP_001123520,DOCK9,dedicator of cytokinesis protein 9 isoform b
573,NP_653259,DOCK11,dedicator of cytokinesis protein 11
574,NP_055504,DOCK10,dedicator of cytokinesis protein 10
575,NP_872579,BPTF,nucleosome-remodeling factor subunit BPTF isoform 1
576,NP_004450,BPTF,nucleosome-remodeling factor subunit BPTF isoform 2
577,NP_061897,HEATR5B,HEAT repeat-containing protein 5B
578,NP_056288,HEATR5A,HEAT repeat-containing protein 5A
579,NP_060101,DDX60,probable ATP-dependent RNA helicase DDX60
580,NP_001012985,DDX60L,probable ATP-dependent RNA helicase DDX60-like
581,NP_001371,DOCK1,dedicator of cytokinesis protein 1
582,NP_004937,DOCK2,dedicator of cytokinesis protein 2
583,NP_079216,DOCK5,dedicator of cytokinesis protein 5
584,NP_874365,SCRIB,protein scribble homolog isoform a
585,NP_056171,SCRIB,protein scribble homolog isoform b
586,NP_060684,LRRC1,leucine-rich repeat-containing protein 1
587,NP_940890,FAM83H,protein FAM83H
588,NP_001087,ACLY,ATP-citrate synthase isoform 1
589,NP_942127,ACLY,ATP-citrate synthase isoform 2
590,NP_001368,DYNC2H1,cytoplasmic dynein 2 heavy chain 1 isoform 1
591,NP_055627,CEP170,centrosomal protein of 170 kDa isoform alpha
592,NP_001035864,CEP170,centrosomal protein of 170 kDa isoform gamma
593,NP_001106197,KIAA0284,centrosomal protein of 170 kDa protein B isoform 1
594,NP_055820,KIAA0284,centrosomal protein of 170 kDa protein B isoform 2
595,NP_061903,DHX29,ATP-dependent RNA helicase DHX29
596,NP_057417,SRRM2,serine/arginine repetitive matrix protein 2
597,NP_001894,CTNNA1,catenin alpha-1
598,NP_004380,CTNNA2,catenin alpha-2 isoform 1
599,NP_037398,CTNNA3,catenin alpha-3
600,NP_000079,COL1A1,collagen alpha-1(I) chain preproprotein
601,NP_001835,COL2A1,collagen alpha-1(II) chain isoform 1 precursor
602,NP_002902,UPF1,regulator of nonsense transcripts 1
603,NP_001158287,ACIN1,apoptotic chromatin condensation inducer in the nucleus isoform 3
604,NP_001158286,ACIN1,apoptotic chromatin condensation inducer in the nucleus isoform 2
605,NP_055524,USP34,ubiquitin carboxyl-terminal hydrolase 34
606,NP_114032,HNRNPU,heterogeneous nuclear ribonucleoprotein U isoform a
607,NP_004492,HNRNPU,heterogeneous nuclear ribonucleoprotein U isoform b
608,NP_570849,OPA1,"dynamin-like 120 kDa protein, mitochondrial isoform 7"
609,NP_060395,DENND4C,DENN domain-containing protein 4C
610,NP_001138295,DENND4A,C-myc promoter-binding protein isoform 1
611,NP_004808,TJP2,tight junction protein ZO-2 isoform 1
612,NP_001163886,TJP2,tight junction protein ZO-2 isoform 4
613,NP_001163885,TJP2,tight junction protein ZO-2 isoform 5
614,NP_001164100,CHD8,chromodomain-helicase-DNA-binding protein 8 isoform 1
615,NP_001262,CHD2,chromodomain-helicase-DNA-binding protein 2 isoform 1
616,NP_001261,CHD1,chromodomain-helicase-DNA-binding protein 1
617,NP_060250,CHD7,chromodomain-helicase-DNA-binding protein 7
618,NP_115597,CHD6,chromodomain-helicase-DNA-binding protein 6
619,NP_079410,CHD9,chromodomain-helicase-DNA-binding protein 9
620,NP_001257903,HYDIN,hydrocephalus-inducing protein homolog isoform a
621,NP_004694,RABEP1,rab GTPase-binding effector protein 1 isoform 1
622,NP_001077054,RABEP1,rab GTPase-binding effector protein 1 isoform 2
623,NP_000170,MSH6,DNA mismatch repair protein Msh6
624,NP_005947,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic"
625,NP_001229696,MTHFD1L,"monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 1 precursor"
626,NP_056255,MTHFD1L,"monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform 2 precursor"
627,NP_002289,LCP1,plastin-2
628,NP_005023,PLS3,plastin-3 isoform 1
629,NP_002661,PLS1,plastin-1
630,NP_001193980,CLASP1,CLIP-associating protein 1 isoform 4
631,NP_056097,CLASP1,CLIP-associating protein 1 isoform 1
632,NP_055912,CLASP2,CLIP-associating protein 2 isoform 1
633,NP_001193973,CLASP2,CLIP-associating protein 2 isoform 2
634,NP_036601,PRPF6,pre-mRNA-processing factor 6
635,NP_055845,FRYL,protein furry homolog-like
636,NP_075463,FRY,protein furry homolog
637,NP_001073869,PLIN4,perilipin-4
638,NP_542194,SOGA1,protein SOGA1 isoform 1
639,NP_954650,SOGA1,protein SOGA1 isoform 2
640,NP_056025,SOGA2,protein SOGA2
641,NP_001012279,SOGA3,protein SOGA3 precursor
642,NP_003962,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4 isoform 3
643,NP_001124000,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4 isoform 1
644,NP_001123999,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4 isoform 2
645,NP_001238900,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4 isoform 4
646,NP_055948,MAPK8IP3,C-Jun-amino-terminal kinase-interacting protein 3 isoform 1
647,NP_006380,HYOU1,hypoxia up-regulated protein 1 precursor
648,NP_001035957,NF1,neurofibromin isoform 1
649,NP_872270,PKM2,pyruvate kinase isozymes M1/M2 isoform b
650,NP_001193725,PKM2,pyruvate kinase isozymes M1/M2 isoform c
651,NP_001193727,PKM2,pyruvate kinase isozymes M1/M2 isoform e
652,NP_000289,PKLR,pyruvate kinase isozymes R/L isoform 1
653,NP_060110,LRRC16A,leucine-rich repeat-containing protein 16A isoform 1
654,NP_001167448,LRRC16A,leucine-rich repeat-containing protein 16A isoform 2
655,NP_004902,PDIA4,protein disulfide-isomerase A4 precursor
656,NP_005304,PDIA3,protein disulfide-isomerase A3 precursor
657,NP_004376,VCAN,versican core protein isoform 1 precursor
658,NP_941372,RAPGEF1,rap guanine nucleotide exchange factor 1 isoform b
659,NP_066964,XRCC5,X-ray repair cross-complementing protein 5
660,NP_001138231,PHLDB1,pleckstrin homology-like domain family B member 1 isoform b
661,NP_001127910,PHLDB1,pleckstrin homology-like domain family B member 2 isoform a
662,NP_942147,PHLDB3,pleckstrin homology-like domain family B member 3
663,NP_060554,CCDC88A,girdin isoform 2
664,NP_001129069,CCDC88A,girdin isoform 1
665,NP_001073922,INTS1,integrator complex subunit 1
666,NP_071504,PC,"pyruvate carboxylase, mitochondrial precursor"
667,NP_006830,IMMT,mitochondrial inner membrane protein isoform 1
668,NP_001093639,IMMT,mitochondrial inner membrane protein isoform 2
669,NP_001093640,IMMT,mitochondrial inner membrane protein isoform 3
670,NP_006588,HSPA8,heat shock cognate 71 kDa protein isoform 1
671,NP_005338,HSPA5,78 kDa glucose-regulated protein precursor
672,NP_005337,HSP1,heat shock 70 kDa protein 1A/1B
673,NP_001035924,FILIP1L,filamin A-interacting protein 1-like isoform 3
674,NP_068814,HSPA2,heat shock-related 70 kDa protein 2
675,NP_694881,HSPA8,heat shock cognate 71 kDa protein isoform 2
676,NP_005518,HSPA1L,heat shock 70 kDa protein 1-like
677,NP_002146,HSP6,heat shock 70 kDa protein 6
678,NP_060898,UTP6,U3 small nucleolar RNA-associated protein 6 homolog
679,NP_005959,HNRNPM,heterogeneous nuclear ribonucleoprotein M isoform a
680,NP_001596,AARS,"alanine--tRNA ligase, cytoplasmic"
681,NP_002799,PSMD2,26S proteasome non-ATPase regulatory subunit 2 isoform 1
682,NP_115784,BAZ1B,tyrosine-protein kinase BAZ1B
683,NP_031387,NID2,nidogen-2 precursor
684,NP_002499,NID1,nidogen-1 precursor
685,NP_060414,USP47,ubiquitin carboxyl-terminal hydrolase 47
686,NP_066997,CCAR2,DBIRD complex subunit KIAA1967
687,NP_203752,TANC1,protein TANC1 isoform 1
688,NP_001139381,TANC1,protein TANC1 isoform 2
689,NP_004658,HERC2,E3 ubiquitin-protein ligase HERC2
690,XP_003403905,HERC2L,PREDICTED: putative HERC2-like protein 3-like
691,NP_054831,TRPS1,zinc finger transcription factor Trps1
692,NP_003472,USP5,ubiquitin carboxyl-terminal hydrolase 5 isoform 2
693,NP_003931,USP13,ubiquitin carboxyl-terminal hydrolase 13
694,NP_057662,RSF1,remodeling and spacing factor 1
695,NP_036425,PXDN,peroxidasin homolog precursor
696,NP_055949,MPRIP,myosin phosphatase Rho-interacting protein isoform 1
697,NP_958431,MPRIP,myosin phosphatase Rho-interacting protein isoform 2
698,NP_001034230,TRIOBP,TRIO and F-actin-binding protein isoform 6
699,NP_619538,TRIOBP,TRIO and F-actin-binding protein isoform 2
700,NP_476516,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit"
701,NP_078837,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit isoform 1"
702,NP_036387,XRN2,5'-3' exoribonuclease 2
703,NP_057212,COPG,coatomer subunit gamma-1
704,NP_036265,COPG2,coatomer subunit gamma-2
705,NP_060090,ILF3,interleukin enhancer-binding factor 3 isoform d
706,NP_036350,ILF3,interleukin enhancer-binding factor 3 isoform a
707,NP_060857,STRBP,spermatid perinuclear RNA-binding protein isoform 1
708,NP_060697,UBA6,ubiquitin-like modifier-activating enzyme 6
709,NP_620305,SON,protein SON isoform F
710,NP_115571,SON,protein SON isoform B
711,NP_004229,TRIP12,E3 ubiquitin-protein ligase TRIP12
712,NP_001025177,AP2B1,AP-2 complex subunit beta isoform a
713,NP_663782,AP1B1,AP-1 complex subunit beta-1 isoform b
714,NP_477352,PI4KA,phosphatidylinositol 4-kinase alpha isoform 1
715,NP_001005360,DNM2,dynamin-2 isoform 1
716,NP_001005361,DNM2,dynamin-2 isoform 2
717,NP_004936,DNM2,dynamin-2 isoform 3
718,NP_001005336,DNM1,dynamin-1 isoform 2
719,NP_056384,DNM3,dynamin-3 isoform a
720,NP_037423,CPSF1,cleavage and polyadenylation specificity factor subunit 1
721,NP_004125,HSPA9,"stress-70 protein, mitochondrial precursor"
722,NP_803187,DICER1,endoribonuclease Dicer isoform 1
723,NP_006428,PARP4,poly
724,NP_060404,PHIP,PH-interacting protein
725,NP_061836,BRWD1,bromodomain and WD repeat-containing protein 1 isoform A
726,NP_694984,BRWD3,bromodomain and WD repeat-containing protein 3
727,NP_006833,SF3B2,splicing factor 3B subunit 2
728,NP_055888,SIPA1L3,signal-induced proliferation-associated 1-like protein 3
729,NP_056371,SIPA1L1,signal-induced proliferation-associated 1-like protein 1
730,NP_065859,SIPA1L2,signal-induced proliferation-associated 1-like protein 2
731,NP_001106189,LIMCH1,LIM and calponin homology domains-containing protein 1 isoform c
732,NP_001106190,LIMCH1,LIM and calponin homology domains-containing protein 1 isoform d
733,NP_005076,NUP214,nuclear pore complex protein Nup214
734,NP_001026884,INF2,inverted formin-2 isoform 2
735,NP_071934,INF2,inverted formin-2 isoform 1
736,NP_055506,AQR,intron-binding protein aquarius
737,NP_056992,SRRT,serrate RNA effector molecule homolog isoform a
738,NP_001138678,KIAA1671,uncharacterized protein KIAA1671
739,NP_056154,ADNP,activity-dependent neuroprotector homeobox protein
740,NP_001035207,ARAP1,"arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 isoform c"
741,NP_001128662,ARAP1,"arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 isoform d"
742,NP_003617,PPFIA1,liprin-alpha-1 isoform b
743,NP_003651,PPFIA3,liprin-alpha-3
744,NP_003616,PPFIA2,liprin-alpha-2 isoform a
745,XP_003960947,PPFIA2L,PREDICTED: liprin-alpha-2-like
746,NP_055868,PPFIA4,liprin-alpha-4
747,NP_001073953,LOC85452,uncharacterized protein KIAA1751
748,NP_055423,CYFIP1,cytoplasmic FMR1-interacting protein 1 isoform a
749,NP_055191,CYFIP2,cytoplasmic FMR1-interacting protein 2
750,NP_001028200,CYFIP1,cytoplasmic FMR1-interacting protein 1 isoform b
751,NP_006268,ITSN2,intersectin-2 isoform 1
752,NP_003015,ITSN1,intersectin-1 isoform ITSN-l
753,NP_001001132,ITSN1,intersectin-1 isoform ITSN-s
754,NP_671494,ITSN2,intersectin-2 isoform 2
755,NP_005115,NUP153,nuclear pore complex protein Nup153 isoform 2
756,NP_001036015,SMC2,structural maintenance of chromosomes protein 2
757,NP_036546,RAB3GAP2,rab3 GTPase-activating protein non-catalytic subunit
758,NP_003613,PPFIBP1,liprin-beta-1 isoform 1
759,NP_001185844,PPFIBP1,liprin-beta-1 isoform 3
760,NP_003612,PPFIBP2,liprin-beta-2 isoform 1
761,NP_001243497,PPFIBP2,liprin-beta-2 isoform 2
762,NP_056280,GEMIN5,gem-associated protein 5 isoform 1
763,NP_000179,HK1,hexokinase-1 isoform HKI
764,NP_000180,HK2,hexokinase-2
765,NP_002106,HK3,hexokinase-3
766,NP_079406,HKDC1,putative hexokinase HKDC1
767,NP_006006,ARID1A,AT-rich interactive domain-containing protein 1A isoform a
768,NP_065783,ARID1B,AT-rich interactive domain-containing protein 1B isoform 2
769,NP_619520,DHX30,putative ATP-dependent RNA helicase DHX30 isoform 1
770,NP_150648,VPS13A,vacuolar protein sorting-associated protein 13A isoform A
771,NP_001155855,ARHGEF2,rho guanine nucleotide exchange factor 2 isoform 1
772,NP_001035905,CAST,calpastatin isoform f
773,NP_001177371,CAST,calpastatin isoform m
774,NP_001075019,THOC2,THO complex subunit 2
